Junction Port Matrix:;Compressor;Heat Exchanger;Separator;Expansion Valve;Heat Exchanger;Pump;Heat Exchanger;Mixing Valve;Pump;Valve;Pipe;Valve;Heat Exchanger;Heat Exchanger;Mixing Valve;Source;Sink;Source;Sink;Source;Sink;Fluid Loop;Source / Sink
Junction 1;1;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 2;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 3;0;-2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 4;0;0;-6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 5;0;0;0;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Junction 6;0;0;0;0;0;1;0;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Junction 7;0;0;0;0;2;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Junction 8;0;0;0;0;-2;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Junction 9;0;0;0;0;0;0;-3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Junction 10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;-9;0;0;0;0;0;0;3;0
Junction 11;0;3;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;3;0
Junction 12;0;-3;0;0;0;0;0;0;0;1;1;0;0;0;7;0;0;0;0;0;0;3;0
Junction 13;0;0;0;0;0;0;0;0;0;0;-1;1;0;0;0;0;0;0;0;0;0;3;0
Junction 14;0;0;0;0;0;0;0;0;0;-1;0;0;2;0;0;0;0;0;0;0;0;3;0
Junction 15;0;0;0;0;0;0;0;0;0;0;0;-1;0;2;0;0;0;0;0;0;0;3;0
Junction 16;0;0;0;0;0;0;0;0;0;0;0;0;-2;-2;8;0;0;0;0;0;0;3;0
Junction 17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;4;1
Junction 18;0;0;0;0;0;0;-2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;-1
Junction 19;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;-1;0;0;0;5;1
Junction 20;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;1;0;0;5;-1
Junction 21;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;-1;0;6;1
Junction 22;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;1;6;-1
